iter	RMSE
0	11479.79144
1	10359.71329
2	9372.54495
3	8513.193463
4	7774.759815
5	7211.191916
6	6712.29637
7	6285.564892
8	5921.122625
9	5635.848354
10	5383.502117
11	5185.18099
12	4987.503878
13	4838.86702
14	4716.851442
15	4591.559411
16	4501.491526
17	4403.141098
18	4333.218288
19	4278.152433
20	4193.485233
21	4123.722485
22	4113.815896
23	4064.958592
24	4032.021005
25	3999.363158
26	3959.698585
27	3905.636163
28	3849.578233
29	3814.128957
30	3809.65774
31	3775.241326
32	3744.946778
33	3713.915926
34	3674.91276
35	3667.821804
36	3655.375449
37	3646.214453
38	3623.339556
39	3595.021931
40	3584.633322
41	3565.527323
42	3525.265145
43	3508.566123
44	3496.885727
45	3474.590686
46	3445.188167
47	3410.752997
48	3391.192731
49	3380.608396
50	3354.955442
51	3333.692741
52	3295.636767
53	3252.702999
54	3239.283384
55	3202.796105
56	3192.481288
57	3169.97243
58	3141.788486
59	3131.723911
60	3104.122891
61	3081.6406
62	3062.659
63	3032.378035
64	3021.898569
65	3014.49265
66	2972.812743
67	2952.06925
68	2933.279634
69	2911.647083
70	2896.844754
71	2890.611512
72	2873.676689
73	2857.71788
74	2841.570311
75	2840.635442
76	2836.427853
77	2826.547262
78	2816.381259
79	2798.525496
80	2786.208365
81	2756.67492
82	2721.732082
83	2711.722295
84	2694.744543
85	2670.159628
86	2651.064919
87	2647.128126
88	2626.957744
89	2606.616287
90	2581.480184
91	2579.921727
92	2578.142077
93	2555.254453
94	2537.269069
95	2527.864949
96	2527.537153
97	2515.631156
98	2510.562316
99	2493.942031
100	2483.566465
101	2474.412795
102	2457.772521
103	2442.649942
104	2436.296627
105	2423.700396
106	2415.576661
107	2404.257706
108	2396.147883
109	2385.669771
110	2384.143536
111	2371.131635
112	2363.953698
113	2347.399976
114	2331.442192
115	2324.235675
116	2310.782413
117	2305.640134
118	2297.905682
119	2288.670483
120	2271.781796
121	2266.97356
122	2258.801028
123	2253.291767
124	2248.077567
125	2240.932148
126	2238.156661
127	2236.993071
128	2227.470177
129	2218.98984
130	2214.367532
131	2204.60921
132	2198.932014
133	2194.170233
134	2193.24072
135	2186.71007
136	2174.417748
137	2168.730478
138	2168.037971
139	2163.173183
140	2156.986175
141	2150.274658
142	2146.421454
143	2140.491256
144	2134.025051
145	2128.037694
146	2120.462527
147	2115.56035
148	2109.506721
149	2101.410631
