iter	Passed	Remaining
0	3	569
1	7	563
2	11	550
3	15	559
4	18	548
5	22	543
6	26	546
7	30	541
8	33	530
9	37	522
10	40	513
11	44	509
12	47	502
13	51	498
14	54	494
15	58	488
16	61	480
17	64	475
18	68	470
19	71	466
20	75	460
21	78	457
22	81	447
23	84	444
24	88	440
25	91	436
26	94	432
27	98	429
28	101	424
29	105	420
30	106	409
31	109	404
32	113	401
33	116	397
34	119	393
35	122	389
36	126	385
37	127	376
38	131	373
39	134	369
40	137	365
41	141	362
42	144	359
43	147	355
44	151	352
45	154	349
46	157	346
47	161	342
48	164	339
49	167	335
50	171	332
51	174	328
52	177	325
53	181	321
54	184	318
55	187	315
56	191	311
57	194	308
58	197	305
59	201	302
60	205	300
61	209	296
62	212	293
63	216	290
64	219	287
65	222	283
66	226	280
67	229	277
68	233	273
69	236	270
70	239	266
71	243	263
72	246	259
73	249	256
74	253	253
75	254	247
76	257	244
77	260	240
78	264	237
79	267	234
80	271	230
81	274	227
82	277	224
83	279	219
84	282	216
85	285	212
86	289	209
87	292	206
88	295	202
89	299	199
90	303	196
91	304	191
92	307	188
93	310	185
94	314	181
95	317	178
96	318	174
97	322	170
98	325	167
99	328	164
100	332	161
101	335	157
102	338	154
103	342	151
104	345	148
105	348	144
106	352	141
107	355	138
108	359	135
109	362	131
110	365	128
111	369	125
112	372	122
113	376	118
114	379	115
115	382	112
116	386	108
117	389	105
118	392	102
119	396	99
120	399	95
121	402	92
122	405	89
123	409	85
124	412	82
125	416	79
126	419	75
127	421	72
128	424	69
129	428	65
130	431	62
131	435	59
132	438	56
133	441	52
134	445	49
135	448	46
136	452	42
137	455	39
138	458	36
139	461	32
140	465	29
141	469	26
142	472	23
143	476	19
144	479	16
145	482	13
146	486	9
147	489	6
148	492	3
149	496	0
